id,name,latitude,longitude,dpcapacity,landmark,online date
5,State St & Harrison St,41.87395806,-87.62773949,19,30,2013-06-28
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,66,2013-06-28
14,Morgan St & 18Th St,41.858086,-87.651073,15,163,2013-06-28
15,Racine Ave & 18Th St,41.85818061,-87.65648665,15,164,2013-06-28
16,Wood St & North Ave,41.910329,-87.672516,15,223,2013-08-12
17,Wood St & Division St,41.90332,-87.67273,15,246,2013-06-28
19,Loomis St & Taylor St,41.869417,-87.660996,15,139,2013-06-28
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,154,2013-06-28
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,157,2013-06-28
22,May St & Taylor St,41.8694821,-87.6554864,15,160,2013-06-28
23,Orleans St & Elm St,41.902924,-87.637715,15,172,2013-06-28
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,262,2013-06-28
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,34,2013-06-28
26,Mcclurg Ct & Illinois St,41.89102,-87.6173,23,51,2013-06-28
27,Larrabee St & North Ave,41.91021,-87.6435,19,174,2013-06-28
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,282,2013-06-28
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,290,2013-06-28
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,248,2013-06-28
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,17,2013-06-28
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,76,2013-06-28
33,State St & Van Buren St,41.877181,-87.627844,27,3,2013-06-28
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,124,2013-06-28
35,Streeter Dr & Illinois St,41.891071,-87.6122,35,22,2013-08-05
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,27,19,2013-06-28
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,20,2013-06-28
42,Wabash Ave & Cermak Rd,41.85323876,-87.62533709,15,170,2013-06-28
43,Michigan Ave & Washington St,41.88389277,-87.62464914,43,1,2013-06-28
44,State St & Randolph St,41.8847302,-87.62773357,27,2,2013-06-28
45,Michigan Ave & Congress Pkwy,41.8760656,-87.62443336,15,40,2013-06-28
46,Wells St & Walton St,41.89993001,-87.63443007,19,46,2013-06-28
47,State St & Kinzie St,41.88918,-87.6277,15,50,2013-06-28
48,Larrabee St & Kingsbury St,41.897764,-87.642884,27,12,2013-06-28
49,Dearborn St & Monroe St,41.88131982,-87.62952092,23,49,2013-06-28
50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27,9,2013-06-28
51,Clark St & Randolph St,41.88457623,-87.63188991,31,5,2013-06-28
52,Michigan Ave & Lake St,41.88605812,-87.62428934,23,43,2013-06-28
53,Wells St & Erie St,41.893832,-87.634195,19,64,2013-06-28
54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19,44,2013-06-28
55,Halsted St & James M Rochford St,41.865861,-87.646611,15,166,2013-06-28
56,Desplaines St & Kinzie St,41.88871604,-87.64444785,19,39,2013-06-28
57,Clinton St & Roosevelt Rd,41.86711778,-87.64108796,15,327,2013-06-28
58,Ashland Ave & Armitage Ave,41.91785887,-87.668919,15,25,2013-06-28
59,Wabash Ave & Roosevelt Rd,41.867173,-87.62595501,19,31,2013-06-28
60,Dayton St & North Ave,41.91057803,-87.64942193,19,58,2013-06-28
61,Wood St & Milwaukee Ave,41.907655,-87.672552,15,221,2013-06-28
62,Mccormick Place,41.85137517,-87.61883465,15,106,2013-06-28
66,Clinton St & Lake St,41.88583274,-87.64138231,19,21,2013-06-28
67,Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,15,60,2013-06-28
68,Clinton St & Tilden St,41.875885,-87.640795,23,37,2013-06-28
69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,19,65,2013-06-28
71,Morgan St & Lake St,41.88548331,-87.65230486,15,72,2013-06-28
72,State St & 16Th St,41.86012138,-87.62772919,15,148,2013-06-28
73,Jefferson St & Monroe St,41.880422,-87.642746,19,38,2013-06-28
74,Kingsbury St & Erie St,41.89384315,-87.64185116,23,265,2013-06-28
75,Canal St & Jackson Blvd,41.87811421,-87.63997112,35,138,2013-06-28
76,Lake Shore Dr & Monroe St,41.88105,-87.61697,11,300,2013-06-28
77,Clinton St & Madison St,41.8815824,-87.64127743,23,301,2013-06-28
80,Aberdeen St & Madison St,41.881487,-87.654752,19,156,2013-06-28
81,Daley Center Plaza,41.884337,-87.630183,47,23,2013-06-28
84,Green St & Milwaukee Ave,41.891733,-87.648727,19,33,2013-06-28
85,Michigan Ave & Oak St,41.90096039,-87.62377664,15,42,2013-06-28
86,Eckhart Park,41.89637337,-87.66098386,15,289,2013-06-28
87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,19,189,2013-06-28
88,May St & Randolph St,41.88397,-87.655688,15,155,2013-06-28
90,Millennium Park,41.8810317,-87.62408432,35,8,2013-06-28
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,10,2013-06-28
92,Carpenter St & Huron St,41.894556,-87.653449,19,196,2013-06-28
93,Sheffield Ave & Willow St,41.913688,-87.652855,15,190,2013-06-28
94,Lincoln Ave & Armitage Ave,41.918273,-87.638116,19,146,2013-06-28
97,Museum Campus,41.865212,-87.617759,19,29,2013-06-28
98,Lasalle St & Washington St,41.882664,-87.63253,15,6,2013-07-15
99,Lake Shore Dr & Ohio St,41.89257,-87.614492,19,337,2013-07-15
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23,13,2013-07-16
106,State St & Pearson St,41.897448,-87.628722,27,14,2013-08-01
108,Halsted St & Polk St,41.87184,-87.64664,19,27,2013-08-06
109,900 W Harrison,41.8745,-87.6498,19,28,2013-08-06
110,State St & Erie St,41.893975,-87.628623,23,45,2013-08-01
111,Sedgwick St & Huron St,41.894666,-87.638437,19,52,2013-08-01
112,Green St & Randolph St,41.884078,-87.648684,15,53,2013-07-29
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,59,2013-09-05
114,Sheffield Ave & Addison St,41.94688,-87.65445,27,62,2013-08-02
115,Sheffield Ave & Wellington Ave,41.936253,-87.653566,23,67,2013-07-22
116,Western Ave & Winnebago Ave,41.915533,-87.687051,15,68,2013-07-26
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23,69,2013-08-02
118,Sedgwick St & North Ave,41.910579,-87.638618,19,70,2013-08-01
119,Ashland Ave & Lake St,41.88541,-87.66732,19,73,2013-07-28
120,Wentworth Ave & Archer Ave,41.854564,-87.631937,15,75,2013-08-06
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,15,398,2013-08-28
122,Congress Pkwy & Ogden Ave,41.87501,-87.67328,15,81,2013-07-28
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,84,2013-07-26
124,Damen Ave & Cullerton St,41.855048,-87.675726,15,89,2013-08-03
126,Clark St & North Ave,41.911791,-87.631841,15,128,2013-07-29
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15,131,2013-10-29
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,132,2013-08-03
129,Blue Island Ave & 18Th St,41.857556,-87.661535,15,135,2013-07-25
130,Damen Ave & Division St,41.90331,-87.67695,15,136,2013-07-26
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,140,2013-09-23
132,Wentworth Ave & 24Th St,41.849237,-87.631715,15,149,2013-09-05
134,Peoria St & Jackson Blvd,41.877749,-87.649633,19,158,2013-07-25
135,Halsted St & 21St St,41.85378,-87.64665,11,162,2013-07-24
136,Racine Ave & 13Th St,41.865054,-87.656959,15,165,2013-07-31
137,Morgan Ave & 14Th Pl,41.862378,-87.651062,15,169,2013-07-31
138,Clybourn Ave & Division St,41.904509,-87.6405,15,171,2013-08-05
140,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19,173,2013-08-01
141,Clark St & Lincoln Ave,41.915689,-87.6346,19,179,2013-08-16
143,Sedgwick St & Webster Ave,41.92197,-87.63854,15,191,2013-08-03
144,Larrabee St & Webster Ave,41.92175,-87.64401,15,193,2013-08-02
146,Loomis St & Jackson Blvd,41.877945,-87.662007,11,206,2013-07-28
147,Indiana Ave & 26Th St,41.8457,-87.62248,15,212,2013-07-23
148,State St & 33Rd St,41.834734,-87.625813,11,216,2013-08-27
149,Calumet Ave & 33Rd St,41.8349,-87.61793,11,217,2013-08-03
150,Fort Dearborn Dr & 31St St,41.838556,-87.608218,11,220,2013-07-23
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,15,226,2013-07-29
153,Southport Ave & Wellington Ave,41.93584,-87.6637,19,228,2013-07-25
154,Southport Ave & Belmont Ave,41.93949,-87.66378,15,229,2013-07-29
156,Clark St & Wellington Ave,41.93649682,-87.64753866,15,232,2013-08-02
157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15,234,2013-08-01
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,15,243,2013-07-26
159,Claremont Ave & Hirsch St,41.907781,-87.685854,11,245,2013-07-26
160,Campbell Ave & North Ave,41.910535,-87.689556,15,257,2013-07-26
162,Damen Ave & Wellington Ave,41.93588,-87.67842,15,268,2013-07-25
163,Paulina St & Diversey Pkwy,41.93186,-87.67079,15,271,2013-07-29
164,Franklin St & Lake St,41.885837,-87.6355,23,272,2013-08-03
165,Clark St & Waveland Ave,41.94893,-87.65775,19,275,2013-08-03
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15,296,2013-07-25
167,Damen Ave & Coulter St,41.8492,-87.67564,11,306,2013-07-25
168,Michigan Ave & 14Th St,41.864059,-87.623727,19,310,2013-08-03
169,Canal St & Harrison St,41.874337,-87.639566,15,326,2013-07-23
170,Clinton St & 18Th St,41.85795,-87.640826,15,329,2013-07-25
171,May St & Cullerton St,41.855136,-87.654127,11,331,2013-07-25
173,Mies Van Der Rohe Way & Chicago Ave,41.89691,-87.621743,15,338,2013-08-01
174,Canal St & Madison St,41.882091,-87.639833,23,341,2013-07-28
175,Wells St & Polk St,41.872373,-87.633523,19,344,2013-08-03
176,Clark St & Elm St,41.903233,-87.631253,19,349,2013-08-01
177,Theater On The Lake,41.926277,-87.630834,15,350,2013-08-13
178,State St & 19Th St,41.856594,-87.627542,15,408,2013-07-23
179,Martin Luther King Dr & Oakwood Blvd,41.82256,-87.61615,15,420,2013-07-24
181,Lasalle St & Illinois St,41.890749,-87.63206,19,430,2013-07-21
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,142,2013-07-26
184,State St & 35Th St,41.83104,-87.62688,19,82,2013-08-03
185,Stave St & Armitage Ave,41.917741,-87.691392,11,266,2013-07-26
